"V1","V2","V3"
-2.31599961547181,-1.1259826105088,-2.87060171132907
1.92252098070458,-0.433213729877025,0.970241216942668
1.50973403127864,-0.897653413005173,-0.660939356312156
1.63016218878329,0.431050540879369,-2.29029146628454
-2.27023686747998,-1.74878395814449,-0.220675469376147
1.71349998610094,-1.1549927922897,-2.86548691475764
-2.68761992594227,-0.162447875831276,0.590509618632495
1.79469712777063,-0.162322432268411,2.54284523008391
-2.23816677974537,-2.31594259478152,0.787833003792912
1.24449275946245,-0.511651593726128,-0.792753876652569
0.180389023851603,1.96019443077967,-0.437451807316393
2.38444048957899,1.41157861892134,1.40770782949403
-2.77203277638182,-0.982023088261485,0.246255714911968
0.169882439542562,-1.25376632530242,0.136792183388025
0.514841684605926,-1.88258496299386,1.81254966929555
2.6809981581755,-2.06788175040856,-2.91778405336663
1.82008474320173,0.811754738911986,-0.691407688893378
-1.84280335810035,-1.34317716769874,0.405112388078123
-2.15947084268555,1.41531251790002,0.834206971339881
-0.848225232213736,-0.295533458702266,-1.62888019764796
2.09374628216028,-0.783016454894096,-2.69133668392897
-1.26627558656037,0.437883359380066,1.88204673863947
-0.893156376667321,-1.39729295438156,-2.19371575210243
-0.405318324454129,2.80495205009356,2.85115745617077
-2.16699720639735,2.04215697711334,-1.36125241499394
1.63158673653379,-2.24293843796477,-0.360576183535159
1.56457474641502,1.91425694245845,-2.9126489488408
-1.38282998045906,2.27940243110061,-1.13270555203781
-1.84133608499542,2.37461708765477,2.7365277162753
1.67604710301384,1.30552970571443,2.29545580269769
2.94617378292605,-2.41010701283813,1.15173322800547
-2.73217106983066,-1.04732558643445,-1.59944251226261
-1.48822174966335,2.98085240134969,-0.35892764898017
0.207283360417932,-2.01021260535344,0.293538676109165
2.06061288714409,2.1115379515104,2.63100996846333
-2.08833357598633,2.70722689619288,-2.02084838831797
-2.77068383339792,2.36953408923,2.01199339097366
-1.93447122350335,1.47175702918321,1.09886585315689
1.12208771612495,-0.899076799862087,-0.960657033137977
0.0172952860593796,-0.521114624105394,0.3438935209997
-1.66896069981158,1.09603161457926,-2.7954595698975
-2.13157950667664,0.46536454372108,-2.93974688462913
1.62225050479174,-2.85806096484885,1.98801382631063
1.52733815694228,-1.91407540161163,1.82178509607911
-2.06959708733484,-1.93516495870426,-2.40733746020123
2.68830600986257,-1.34346986515447,1.80360423680395
-1.10713403765112,1.10631943121552,-0.623939143493772
-1.22880439599976,0.742276537232101,2.09355116542429
-2.9373156814836,-1.01953928405419,-2.62769269058481
0.523086687549949,-1.4717960790731,-0.820062096230686
-2.32149577466771,-2.65032285545021,-2.23879001755267
-0.940928740426898,-0.328501907642931,2.74500333331525
1.77268055314198,0.0351131139323115,-2.88031415222213
2.52990833949298,-2.6076218476519,-0.979086867067963
-1.73486795648932,0.359291255939752,1.75578602682799
-2.5698854397051,-0.169049271382391,2.38427822850645
-1.07703429786488,-1.85786030860618,-1.5026715612039
2.62436794163659,2.63543589552864,-0.83654753677547
1.80869522877038,0.754419597331434,-0.362312494777143
1.43132395623252,1.89178081182763,1.179069718346
2.81605729367584,-2.01421671034768,1.69211597694084
-0.12542793340981,2.07833269005641,-0.799219760578126
-1.39839967014268,1.27334424247965,2.79597674170509
0.443171808030456,-0.302612900733948,-0.277948387898505
2.97710011526942,-0.297067432198673,2.78266082284972
-1.65893706120551,-0.706344314385206,0.0946214986033738
1.9295960739255,-0.106649971101433,2.88713327888399
-1.03110978333279,1.44493399467319,0.184798885602504
-1.44078413955867,1.54691384313628,1.78876340109855
1.57382024265826,-2.54491784283891,-2.85382736474276
0.0207047760486603,2.41295813117176,1.76622491888702
1.92788483994082,-2.0606060824357,1.35027303546667
1.21246391488239,-2.99190441286191,-2.87297092750669
-0.201127975713462,2.72583443066105,-1.30843325005844
-2.78277638135478,0.796355900354683,1.51645282655954
-0.848039318807423,-1.00198551407084,1.55958315683529
-0.125381704419851,2.09599826764315,-0.891845262609422
-2.68261906318367,-2.04975622147322,2.39295359328389
0.431590095162392,-2.73614659812301,-1.61327382037416
-1.89798276918009,2.58269560569897,-2.11497927177697
-1.30792137561366,2.31519306823611,2.43071978911757
-1.75551382033154,2.61772340442985,1.33141839830205
2.8543623033911,2.63659504428506,2.03420689981431
2.44966767495498,-2.69089138135314,-0.921925369184464
0.142827094998211,0.00847756583243608,-2.2405953858979
0.685285808052868,-0.802701636683196,2.61473649786785
0.624429734889418,-1.9008448664099,2.33161911880597
2.24238459952176,-2.41073268838227,-2.44717946229503
-0.246483515482396,2.17497698916122,-2.4411065094173
-1.9384048730135,-1.12983667524531,1.23523004958406
-0.538510544691235,2.15617025597021,1.61472043348476
0.26558538665995,-0.496029475238174,2.13737619062886
2.98989940993488,-2.05354242911562,-0.390918814111501
-1.65618925821036,-1.50967877777293,-0.364940776024014
-2.84281405247748,-1.05312967579812,1.19656859664246
-1.51807067496702,0.886462259106338,0.534756768029183
-1.44574670121074,0.599506000522524,2.13369858032092
0.315665989648551,0.635328498668969,-1.25987046025693
-2.1282944153063,2.49354720488191,-1.68693857593462
-1.7611840730533,0.568266461603343,-1.17107246210799
1.08683509100229,-0.87201839312911,-2.89233868941665
0.346599631011486,-0.969840754754841,-0.128921354189515
-0.0483627654612064,-1.64009843626991,-1.5352765317075
-1.0381637387909,2.50382326170802,1.48152149375528
-1.89902123948559,1.45824784599245,0.0893559549003839
1.56020308518782,-1.76284145470709,-2.72947025718167
0.433620898984373,-0.577733217738569,1.8138571777381
-2.71676028706133,-0.145720371510834,1.13123805820942
-2.16329931886867,-0.459024579729885,-1.39340052288026
1.26044719945639,0.108875166624784,-0.10424672299996
-2.64359098160639,-2.57528674788773,-0.619243463035673
2.49601799994707,-2.44216341432184,-0.770994738209993
-1.75485073076561,1.76840835856274,-0.0449159466661513
0.612645416054875,-0.324204014148563,1.03351009078324
-0.799378058407456,2.82435391657054,-1.01850053155795
2.91349579347298,-1.36130984080955,-2.20779818901792
2.56965379742905,-1.21181662380695,1.85318500455469
-1.76446376927197,1.55045021977276,-0.160125107970089
0.452308030799031,0.122199076227844,-2.24952925695106
2.01891422783956,-2.16831625113264,-0.669837818015367
2.49654394062236,0.33121262351051,1.21537652146071
0.050895378459245,-1.19289341149852,2.85563342319801
1.63070791913196,0.701359412167221,2.63469704193994
0.315771460533142,2.37769414717332,-0.610408245585859
-2.6304411124438,-1.7006039195694,-0.854124271776527
-0.0228302869945765,-0.782183879055083,2.56754316855222
-0.345195324160159,0.101707238238305,0.231718548573554
0.719448544085026,-1.32328974315897,-1.3682539514266
2.18035956518725,-0.709500686265528,-1.7742469785735
0.575555882882327,0.411392491310835,-0.615044217556715
-1.14415008248761,-1.58104397077113,2.76728475652635
-0.103849920909852,0.510840349830687,-1.56249118968844
-2.08373381244019,0.84124099323526,1.69499710807577
2.03585778409615,-1.48732871515676,2.56112878583372
-0.878176422324032,-2.11210430134088,1.96399582363665
-0.654282352421433,1.82463583862409,-2.58287504129112
1.90355790825561,2.48994606686756,-0.764161770232022
-1.23964248038828,-2.63820051401854,-2.49060663627461
1.3604724383913,-0.566816981881857,2.04018097557127
-1.99941122950986,-2.33696759305894,-0.0392707558348775
-1.62033259542659,2.17426493391395,-2.49437640700489
-2.4766033119522,0.537412157747895,-0.455081082880497
2.45477880164981,1.15346669219434,-1.31651798821986
-1.51623478252441,-1.16834333119914,-0.34572552703321
0.424295544158667,-2.3051929702051,1.24088577367365
-2.16085563926026,2.93178273132071,-1.99448671331629
0.553543448913842,0.147797074634582,2.9497343217954
-2.14966938318685,2.56751285679638,-2.42401955137029
-1.14925863873214,2.67267368501052,2.25981669360772
-1.51561915269122,1.60869743535295,-2.95231591165066
0.252535667270422,0.931597637012601,-2.62955205654725
2.67287660110742,1.87567627429962,-0.886116653680801
0.400975548662245,-2.76611955743283,0.303914590738714
0.993190838489681,-2.72518626367673,2.18032568832859
-1.50711733242497,-0.825261752586812,0.619906637817621
0.956617197487503,2.40440695965663,2.4496746766381
1.83413036400452,0.979926105123013,-2.52654523635283
1.06402917858213,-2.26379462471232,1.91951631009579
0.872936116531491,-1.84642239985988,2.51595540437847
1.49569933209568,-2.32832862110808,-2.63053329382092
-0.468022889457643,2.39868980180472,-2.14408413413912
-2.72753988672048,-0.679222502745688,-0.586837994400412
-1.35683007957414,1.31003916542977,-2.11693002143875
-2.16923357499763,-0.165106682572514,0.128912666346878
0.760517123155296,-2.71384042873979,1.0150427184999
2.65614702505991,1.62420324934646,-1.37612438807264
-1.41352654248476,-1.09990522172302,-2.81878353981301
2.65704531501979,-0.838166935835034,2.7673456678167
2.83146740728989,2.67338955542073,2.6983479950577
-2.16201635962352,-1.22868769895285,-0.639143010601401
-2.19694249564782,-0.0914568216539919,-0.566832480020821
-2.53144378401339,2.93617452727631,-2.77301976922899
-1.56999904755503,-0.806182842236012,-2.46056841406971
0.946052835322917,2.43447873322293,1.55795609392226
1.16419473756105,0.701185726560652,1.29362481739372
2.91891835955903,0.0321886483579874,-0.29284538095817
-0.928479585796595,2.07111776992679,-2.24637482408434
-0.305116682779044,2.5858810544014,-1.12250003870577
2.3072266979143,0.191952283959836,-1.59450621111318
-0.556523406878114,1.1544429268688,-1.75333415949717
2.60424799332395,1.71961635025218,-2.36081362143159
2.96395303308964,0.509096413850784,-2.76229397021234
2.92597182886675,2.84736076137051,-2.58051948621869
2.68569568824023,-2.57105001434684,2.40185549296439
-2.96481831371784,1.56253203889355,0.252079278230667
-2.56535928463563,-1.37604045728222,1.29856084752828
-2.40659914724529,2.67052452312782,-1.73186837090179
-1.31618577428162,1.71082729054615,-0.220591552555561
-1.47450870880857,2.53364625619724,1.67212129477412
2.88325142674148,1.95438367500901,0.713602592702955
-1.62787622446194,2.97839619778097,-0.251551082823426
-1.91364714782685,1.39078662917018,2.9919740287587
0.790484328288585,-2.96232592687011,-2.57574049942195
0.931028419174254,0.155135243665427,-0.872182535938919
0.523446581326425,-2.42744493344799,0.443126770667732
-0.39898617239669,0.788885805755854,0.313806580379605
2.05480231856927,2.67079607862979,-1.6790946344845
-2.97920995904133,-2.94614952569827,-1.78737776633352
0.213651036377996,-0.80351210385561,-2.90091117331758
-2.47551348851994,-2.62414345052093,-1.98519098572433
2.41194739099592,-1.79491262231022,-1.20431735739112
0.165381293278188,-2.92063664551824,2.86432157736272
1.36062911571935,-1.30705813039094,1.14518268126994
-2.10505493637174,0.0992910149507225,-0.430150395724922
0.895808470901102,1.3407931253314,-2.65134773589671
-0.550362209323794,2.97343102796003,-2.53383531142026
0.829657922498882,-1.82408266235143,2.3754486492835
0.865582122467458,0.0146879735402763,-2.44926352053881
0.647537203039974,1.81890999153256,-0.706139809917659
-1.81159212207422,-2.86936039617285,-1.41159391170368
1.8424933757633,1.43319784663618,1.62238710187376
-2.81303706904873,-0.978528950829059,-1.13858052296564
2.73262272169814,-2.03232872486115,0.0746709345839918
0.713433096650988,2.89566278457642,-1.35924258548766
-0.443964057136327,-2.1714029693976,0.756636851001531
0.164086406584829,-1.96707719843835,2.35726098110899
-1.88752686744556,2.19433455727994,0.588497484102845
-2.23756731441244,1.15168679086491,2.35779211577028
-1.10792040545493,0.561413828283548,-1.27610348258168
-1.00641243439168,-2.30629653995857,1.14484994066879
-0.292635461781174,2.24100225046277,-2.67200106242672
-1.57575876591727,2.1030169967562,0.0857801707461476
0.629925725050271,2.74480095226318,-2.25588771142066
2.35521171055734,2.98754975991324,2.56145418388769
0.424354969058186,-1.566652814392,-2.72456405684352
1.78813247708604,0.160193663556129,0.81825536582619
1.25095371622592,-2.1470350753516,0.371401028707623
1.34787586703897,1.42634246125817,1.8432400636375
0.716011979151517,-0.550907385069877,0.242713999003172
-1.11894052522257,-0.928692998830229,-2.55030406359583
0.960164160467684,1.76129836309701,2.49762656958774
0.888807044830173,-0.618597282562405,-2.25928666675463
-0.30292502604425,-0.730290062259883,-1.05950647965074
-0.119798085652292,-2.88527831621468,1.49229421326891
-1.45404190756381,-2.84332705708221,-1.58165806531906
2.84708361374214,-0.693204049486667,1.39238604856655
-2.02280413918197,-0.590561635326594,-0.228527119383216
-1.94218854792416,1.61487750476226,1.02156237512827
-2.97457784134895,2.10106638260186,-1.8826999347657
-1.73915840126574,-1.63113825162873,-2.34983677184209
0.694844027515501,0.984875465277582,2.40193872107193
1.86320526944473,2.16526021622121,2.73139764089137
0.422439287882298,1.10022570518777,0.331833339761943
1.78154183411971,-1.73008495476097,0.676970011554658
-0.739150397479534,-2.03592112474144,0.763649036642164
2.52961991820484,-2.16793581331149,0.127307175658643
0.605670089833438,0.960975914262235,-1.97233374416828
2.94715673290193,0.0453437366522849,-2.39200486801565
-1.25295355310664,-2.18001634022221,-1.24066927470267
-0.243256447836757,-1.06945165526122,0.0934002413414419
2.79202515771613,0.383234364911914,-1.33283603098243
2.567677189596,1.83688927721232,1.01475982228294
-1.62135498924181,-0.138673899695277,-1.19341280730441
0.870116705540568,-2.00845606997609,-2.10816244594753
1.32274143537506,2.19314933521673,2.37720380164683
1.48795633390546,-0.0849435674026608,-2.39639955712482
-1.15229495801032,-1.41202894644812,-2.03770027449355
0.522993993479759,1.51410388341174,-2.73765996331349
2.33365381462499,2.14019343350083,1.82769881654531
-2.38840613840148,2.26629030425102,1.25987260602415
2.06499186577275,2.37310583330691,1.29121342208236
-0.000982595141977072,-2.14890817087144,0.0657049091532826
0.253977530635893,1.08757623843849,-1.81767662521452
-0.698388269171119,2.37666414259002,2.42913942877203
-1.34868892980739,1.34464201144874,1.32895975699648
-0.670838050078601,2.16656215209514,-2.37335323635489
-1.88998355017975,-0.433903341181576,-1.7257985053584
-1.15581254381686,1.00729934312403,2.41521329898387
0.926608006004244,0.849020676221699,-1.62983931507915
-1.88402427686378,-1.30256261955947,0.807484863325953
0.687131803482771,-2.48783035995439,-1.10155545920134
-2.94995978660882,-0.426305239554495,2.21282027056441
-2.42462080065161,-2.24367684591562,-0.81462916592136
-2.14604136301205,-2.75717622321099,1.25489489268512
-0.433027996681631,2.26093022665009,-1.01855765422806
1.94911760184914,-1.95215724455193,-1.99724224442616
-0.628095868974924,2.08066131966189,0.578401469159871
0.643078844994307,0.636343840509653,1.50750457914546
0.575870612170547,-2.55046139610931,1.4894948489964
-2.80571562889963,-1.91075680078939,1.59712109388784
-2.7342918869108,1.69367669289932,1.46087745996192
1.7085938709788,1.63598623685539,0.452427513431758
2.01348762447014,-2.57315748743713,-0.0664174938574433
0.085986967664212,-1.97915961127728,-0.648336580954492
-0.292093732394278,0.862194035667926,1.21915665222332
2.81377924885601,2.47612728830427,1.06227826187387
-1.48501140670851,-1.69968831539154,-0.142390041612089
-0.740810953080654,-2.20557687012479,-2.02008201973513
1.11708029313013,0.949863668996841,-1.85083512263373
-0.319190943147987,-2.65956471953541,1.81484926817939
1.68148374790326,2.68569072615355,0.998227637261152
-0.0384661937132478,1.78487359732389,-0.0151812303811312
1.4628295940347,-1.3938779043965,-0.373356574214995
-1.0650221798569,1.19703935924917,-0.0930545828305185
-1.05773752368987,-2.6252574683167,-0.50990692153573
2.04797226889059,0.718986493069679,0.919157089199871
2.87058983836323,0.487459688913077,-2.87407305696979
1.96013936866075,-2.2397458772175,1.99122769804671
-1.83336229249835,1.7902876236476,-2.27767027867958
1.45993529772386,-2.71471642982215,1.58778321091086
-1.30347386095673,0.532370992004871,2.96772076003253
-1.22972713038325,1.39449799060822,0.355128577910364
1.47039935365319,1.89654948469251,1.99963739700615
-2.47420289553702,0.0751605299301445,-0.763912901747972
2.63862179964781,2.06633262801915,0.57466385839507
2.60294536035508,2.61402586475015,-2.80937782488763
-0.91127383382991,2.80962181231007,-0.534330926835537
2.84149382729083,-1.73922117194161,1.79766475176439
-1.46932713640854,-2.9806557786651,0.647249617148191
1.41221210500225,0.976284570526332,0.786344476975501
0.0484127425588667,0.921707087662071,-1.01431772578508
0.703161512967199,-2.26291308319196,2.79060302115977
-1.18842193298042,2.89646958885714,-1.27500428399071
1.68154404871166,0.757163696922362,-2.99320782534778
-1.89367985492572,-2.42033448396251,-2.80340779200196
-1.994937912561,-2.68244099803269,2.66658554552123
1.56435679877177,0.807686068117619,-2.38031560136005
-2.258802134078,-2.07408800907433,-1.7878989642486
1.75419950438663,-0.289235038217157,-1.1625399319455
-2.42482419870794,2.67952295439318,1.24388006329536
-0.142336735501885,-1.8757603908889,2.04524412425235
-2.45802915981039,-0.717678076587617,-0.99150644056499
-2.0953500168398,2.46853581955656,1.80110764224082
-2.96541287843138,-2.92734378017485,1.55297984182835
0.106428082566708,0.20062221866101,-0.72668221173808
-0.915272082667798,-2.68259292561561,0.406765985302627
2.07751695206389,0.691256001591682,0.965456449426711
0.565870213788003,2.63273514294997,0.788877425249666
-2.97553005907685,-2.38509211828932,-0.778627852443606
2.47887329757214,2.06482429336756,0.965205657295883
2.59320352831855,0.913606088608503,-0.83093285607174
1.96930056530982,-2.01174781657755,1.75129453092813
-2.92988814180717,0.0645861094817519,-0.369427726138383
-0.251360285561532,-0.14119289489463,-0.273301349021494
-0.219157460611314,-0.540712045971304,-1.45437145186588
-0.913762543816119,0.0287068448960781,0.918937810231
1.25927114998922,2.69645629171282,1.72671465296298
-0.835982094984502,-1.63414650131017,0.829557961318642
0.664468613918871,1.87109582684934,-0.866909211035818
2.15420900098979,-1.66903033526614,0.650031403172761
-2.67399944225326,0.823601501528174,-0.0178322922438383
0.159163482952863,1.92470938386396,-2.29346420941874
-2.90870866505429,-2.05728142848238,-1.98278111871332
0.874790238216519,0.108931372873485,2.23049207730219
1.0974588948302,0.126375408377498,0.932131335139275
-2.64941908232868,1.03743797214702,0.295066941529512
0.352703772950917,1.70506975287572,1.82345028826967
-2.63619989762083,0.360375985968858,-2.95029099052772
0.0523406281135976,0.312059826683253,1.36593216983601
1.33197595691308,1.51538353040814,-0.333862756378949
0.0791869768872857,2.86903781443834,1.40683676954359
0.812450501136482,-0.631118841469288,-0.937302135396749
-1.28968561207876,0.320508241653442,0.040584733709693
0.451636861078441,1.21444242959842,-0.274593835696578
2.76255025947466,2.31755611672997,0.489602152258158
-0.739126148633659,-0.608499570284039,0.704243354033679
2.66641888394952,2.81239943113178,-0.589408835861832
2.17345667816699,-1.89582013618201,-1.59737630747259
-2.13548424001783,2.26310847233981,-1.20710877561942
-0.844228672329336,-1.56404710980132,2.59628366818652
-1.34723076224327,0.478524102363735,-1.43015516828746
-0.2585707786493,0.39678999222815,-1.8119497038424
-2.85006982740015,2.27376808226109,2.53265465050936
-2.42201521061361,1.07698063412681,2.54868327872828
-0.200365548022091,-1.18413073103875,1.14616892533377
2.96392136067152,0.780307912733406,1.61343907099217
-2.59905136562884,-1.32841882389039,-2.11681039771065
-2.13918640231714,-2.27257027477026,1.27573123946786
-1.72876083198935,-0.359829519409686,0.97006865311414
2.84381669294089,-1.8502709926106,-2.14348709676415
-1.91614037845284,-1.36130833486095,-2.96723362198099
-2.10862554470077,-0.93467089952901,-0.905822292901576
1.87149217771366,-2.13554002856836,2.9830942475237
-2.15334031311795,0.737619148101658,2.92130192695186
1.66188115719706,0.535975228529423,2.81383650284261
1.2810221244581,-2.97300735348836,-2.50876361271366
-1.39274870976806,-2.87591791385785,0.318018152844161
1.48361902730539,2.72716545173898,2.81836738809943
1.04224334936589,2.6655035270378,-1.2799584902823
2.21436206437647,1.80881365807727,-2.54558130539954
-0.440512214787304,0.658236945513636,0.431413939688355
2.19842586899176,1.23073611175641,-0.204042385797948
-0.273923796135932,2.77837502444163,-1.35250248061493
2.78043031459674,-0.1110696089454,-0.160407249815762
0.173882933333516,-1.34797965176404,-1.53776163049042
-2.99661268573254,0.564910256769508,-0.0502548334188759
-2.54938754020259,-0.740924537647516,0.181316650472581
1.84798972355202,-2.3162857205607,1.75309914490208
-2.23499852512032,-0.243058844469488,0.240577256307006
2.51099895313382,1.47466226806864,1.19440324511379
1.33874743804336,0.0268152561038733,-0.390816320199519
0.793861200101674,-1.18187953345478,-2.28539342992008
0.742045464925468,-2.18989474140108,0.98179446067661
1.58498257398605,-0.00890754908323288,2.26885213376954
-0.513533188495785,-0.578539728652686,2.05567991361022
0.658227981068194,1.99252245901152,-2.39580971840769
0.153319769538939,1.96485095238313,2.16715247975662
1.83737873984501,0.336256693582982,1.87844782182947
-0.29257323872298,-1.87760727480054,-1.21310342056677
-2.57261925470084,1.54793341364712,0.00681808451190591
-2.59994347393513,1.42229211470112,1.2825940917246
2.204686449375,-0.291476311627775,-2.24806716525927
-2.05247418489307,2.05981526523829,-1.82963624037802
-1.2544370116666,0.477920214179903,-0.954972712788731
-1.82745233410969,2.61762684211135,0.184167890343815
-1.19608842674643,-0.728342693299055,1.15888870926574
-1.22431438229978,-1.84852010384202,-2.73789407126606
0.350186076946557,-0.244317652657628,-2.26916725561023
-2.56936836149544,0.381856448482722,2.8234262955375
2.52699644258246,0.424495286308229,-0.751226618885994
-1.45803619595245,-2.74514643196017,0.143877439666539
-2.64676913665608,1.89606519788504,-0.6498495019041
2.58773794630542,0.450998542830348,-1.74289702484384
0.324427537154406,0.618926716502756,-0.854755258653313
2.5835400740616,0.526964507997036,-0.044085196685046
2.35402100812644,-1.52621863922104,-1.16492738574743
