"V1","V2","V3","V4","V5","V6","V7","V8"
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
3,-3,-3,-3,-3,-3,-3,-3
-3,3,-3,-3,-3,-3,-3,-3
-3,-3,3,-3,-3,-3,-3,-3
-3,-3,-3,3,-3,-3,-3,-3
-3,-3,-3,-3,3,-3,-3,-3
-3,-3,-3,-3,-3,3,-3,-3
-3,-3,-3,-3,-3,-3,3,-3
-3,-3,-3,-3,-3,-3,-3,3
-0.991241648793221,0.699143371544778,0.164223033003509,-0.283035128377378,-0.404314486309886,-0.36763256136328,0.920739939436316,-0.186969272792339
0.547084037214518,0.0240646856836975,-0.276233509648591,0.519275932107121,0.00163335958495736,-0.425739573314786,-0.67391261132434,-0.132225235458463
0.975312298629433,-0.601799664553255,-0.798270374070853,-0.850454072002321,0.866745691746473,-0.906345768366009,-0.447410895489156,0.4912105104886
-0.471158891916275,-0.558433987665921,-0.692630468867719,0.509708457160741,-0.773774852976203,-0.797693701926619,-0.872838766779751,-0.380503739695996
0.0744393807835877,-0.690822374541312,-0.393914707470685,0.898698859382421,0.401488532777876,-0.523913169745356,0.558380915783346,0.0562069043517113
-0.909262636210769,0.834659534040838,0.535925259813666,0.73557029152289,-0.215485711582005,0.87901815911755,-0.0822498421184719,0.239448425825685
0.896322373300791,0.500169094186276,-0.062884361948818,-0.945565830450505,0.20895056752488,-0.966216723900288,0.236022818367928,0.543743165209889
-0.109259643126279,0.141212093643844,-0.521493478678167,0.3945053354837,0.350011807866395,-0.402096073143184,-0.616999245248735,0.810041542630643
-0.390591211616993,-0.026506258174777,0.476753134280443,0.243250695522875,0.943517444189638,-0.224057815503329,-0.880350859370083,0.213954661041498
0.515542555134743,-0.224640020634979,-0.28519144281745,-0.204259276390076,0.693685154430568,0.585825306363404,0.917075306642801,-0.145618779119104
-0.490348752588034,0.975263399071991,0.583738962188363,0.592779663857073,0.513921319972724,0.245280067902058,-0.285068625118583,-0.0334589146077633
-0.947404970414937,0.321370794903487,-0.567639738786966,0.238524348475039,0.563535350840539,0.628850156441331,-0.268791914451867,0.906018655747175
-0.0320584787987173,-0.350276918616146,-0.628241767641157,-0.856255182996392,-0.241911815013736,0.859723304398358,-0.37996100820601,-0.104688630439341
0.958100635558367,-0.950415667146444,-0.436457853764296,0.686250817961991,0.0897139208391309,-0.693105383776128,-0.608643072191626,-0.424924448598176
-0.0944821992889047,0.154508869163692,-0.312018311116844,-0.0824009394273162,-0.360197931993753,-0.927789113949984,-0.2604587264359,-0.352392926346511
-0.71716635953635,0.197344828862697,-0.174091207794845,0.819114815443754,0.594067846890539,0.149145944509655,-0.299108476378024,-0.773806799203157
-0.015682895667851,0.0251276777125895,0.590133140329272,0.742344222962856,0.149722159840167,0.03617442259565,-0.459241445641965,-0.0387351182289422
-0.0404059053398669,-0.0675174905918539,0.199834600090981,-0.412483289837837,0.928646501153708,0.522774438373744,0.643690746743232,-0.484196336008608
-0.372804862912744,-0.9264384675771,-0.807770069222897,-0.455217384267598,0.473535148892552,-0.0788438026793301,-0.890451152808964,-0.254225462675095
-0.317541144788265,-0.0935921617783606,-0.324018673039973,-0.447044841945171,-0.377195469569415,0.52432858850807,-0.447424232959747,0.26444293372333
-0.850174327380955,-0.0561970765702426,0.617481973953545,-0.350159856956452,-0.672639243304729,0.0497254277579486,0.848884591367096,0.495351111050695
-0.520846878178418,0.0889551620930433,0.27134963311255,0.744673058856279,0.273206702899188,-0.00633729388937354,-0.70335358241573,0.358254236169159
0.114317017607391,0.928790918551385,0.509620456956327,-0.0777596104890108,-0.985690284054726,-0.76492656301707,0.747487199027091,-0.115385869983584
-0.23427979554981,-0.921988001093268,-0.372219897340983,-0.864020590204746,-0.891215568874031,0.679479764774442,-0.723881890531629,0.82610413338989
-0.783015614375472,0.343417986761779,-0.606559426523745,-0.263938669115305,0.0655462560243905,0.732024946715683,-0.849289266392589,0.799026411492378
-0.720454203896224,0.830512840300798,0.86572398012504,-0.0498706283979118,-0.817461087368429,-0.672553996089846,-0.723582989070565,0.762068502604961
-0.920312334783375,-0.766322899609804,0.486995442770422,0.197562735993415,0.703771430067718,-0.445914744865149,-0.504233598709106,0.321351250167936
-0.0569398612715304,0.559243815485388,0.268870981410146,-0.278945012949407,-0.59989932179451,-0.393624332733452,0.424008421599865,-0.940522196702659
-0.0283160023391247,0.196042837109417,0.838489319197834,0.531607169192284,-0.016366729978472,0.0104279373772442,0.930626332294196,0.995935777202249
0.755564847495407,0.905962448567152,0.300113270524889,-0.629168246872723,0.996474215295166,0.676548787858337,0.32812597323209,-0.0983597952872515
0.260137096047401,-0.0947073427960277,0.683865151368082,-0.907806587871164,-0.0372073631733656,0.005130001809448,-0.515537628438324,0.0586115727201104
-0.419628056231886,0.799703063908964,-0.860704567283392,0.502850482705981,0.0961970132775605,-0.928600703366101,-0.0935611957684159,0.859317165333778
0.884116284083575,0.507910329848528,-0.997650742065161,-0.551154223736376,-0.186230628751218,0.37989108171314,0.888705937657505,0.961531588342041
0.0164459832012653,-0.847872599493712,-0.963766524102539,-0.952451891731471,-0.0909076472744346,0.787401985842735,-0.00508336443454027,0.786626156419516
-0.715142311062664,-0.840803122613579,-0.19143224414438,0.0193261904641986,0.706940902397037,-0.905039427801967,0.439955537673086,0.200362583622336
-0.105468358844519,0.326719768345356,0.754311584867537,-0.145975188817829,-0.389153961092234,0.198831262532622,-0.0317469709552824,-0.278611453250051
0.640483370516449,0.434926490299404,0.935946866869926,-0.946532532572746,-0.0224797213450074,0.246196638327092,-0.732699611689895,-0.604517803993076
-0.849939334206283,-0.710283231455833,-0.0987901552580297,-0.225680010393262,0.50983895175159,0.373893839307129,0.0614522490650415,-0.0565355462022126
-0.44815177610144,0.476332012563944,-0.906414803583175,0.259704710450023,0.485867764800787,-0.772777032107115,-0.150617704726756,0.657670213375241
-0.787837731186301,-0.732021906413138,-0.403934768401086,0.151547296904027,0.870991759933531,-0.515027682762593,-0.601403291337192,0.983682540245354
0.97086437465623,-0.65693350462243,-0.470007613766938,-0.293116341810673,0.787555164191872,-0.993942792993039,0.499867236241698,0.819970802869648
0.377223915420473,0.0197447719983757,0.736646256875247,-0.510285121388733,0.491760703269392,0.265276503749192,-0.0758453188464046,0.8343102671206
-0.505881652701646,-0.870362260378897,0.199989573098719,0.538221971597522,0.656073418445885,-0.550872462801635,0.187381381634623,-0.419823618605733
-0.34816151112318,-0.0670697600580752,0.417286890558898,0.93993121618405,-0.91855546599254,-0.353524993639439,-0.88554681930691,0.113840898964554
0.546780947130173,0.210175253450871,-0.0200956291519105,-0.595305427908897,0.025930660776794,0.983742443379015,-0.154151680879295,0.324727946426719
0.821073265280575,-0.809519832022488,0.775514361448586,-0.55477163894102,-0.354607977438718,-0.791765509173274,0.0521770948544145,0.606885326094925
0.670133411418647,0.229355732910335,-0.148041951470077,-0.368861234281212,0.562892274931073,0.163948168978095,0.336753814481199,-0.883235165849328
0.900873141363263,-0.635138496756554,-0.266790572088212,0.615122529212385,-0.23135820729658,0.0199698871001601,0.444504021201283,-0.120334472041577
-0.793939867056906,0.912534672766924,-0.184533460531384,-0.983899000566453,0.464509927202016,-0.331372896209359,0.100442388094962,-0.551234272774309
0.168358829803765,0.803759121801704,0.469485071022063,0.877134729642421,0.0919433808885515,-0.329260617494583,-0.906786875799298,0.910753497853875
-0.218543461989611,0.366425551008433,0.993554385844618,0.320315041113645,-0.327364102937281,0.231669285800308,-0.421262613032013,-0.704178649000823
-0.56758624734357,0.200465857516974,0.0792436399497092,0.975387840997428,-0.602488615550101,0.319905117154121,-0.965422956738621,-0.297985377255827
-0.15021965187043,0.808974635787308,-0.994771250057966,-0.759764892980456,0.354211013298482,-0.283261388540268,-0.765448139514774,0.140392687171698
0.524820014368743,-0.579762035515159,-0.952149470802397,0.817981987725943,-0.527181016281247,-0.466176979243755,0.994694150984287,-0.933147714938968
-0.299040037672967,0.929083642084152,0.901346574071795,0.111918929032981,0.0333020552061498,0.312150245532393,-0.036581676453352,-0.0771614820696414
0.00899235252290964,0.544067093636841,-0.0413600513711572,0.614189001265913,-0.467932989355177,0.480093329679221,0.70750689227134,0.0680208778940141
0.54105673590675,0.699511314276606,0.990933765657246,-0.664117746986449,0.306815478485078,-0.503032301086932,0.0750935841351748,0.823950692079961
-0.26303147803992,0.295655571855605,0.658497339114547,0.320897375699133,0.397719577420503,-0.342724836431444,-0.414663375355303,-0.786598441656679
-0.757329706568271,0.394507538992912,-0.453655528835952,-0.38586892420426,0.150078858248889,-0.492937264032662,-0.0392148974351585,-0.356614089105278
0.695586041081697,0.297782545909286,-0.165672599337995,0.664554500486702,-0.0321251223795116,0.39488132391125,0.0867844251915812,0.690639794804156
0.495571909472346,-0.306495390832424,0.31851034425199,0.383823991753161,0.384852289222181,0.401043874677271,0.481442120391876,0.323465404100716
-0.474862325936556,0.328982464969158,-0.900119996629655,0.0372238983400166,-0.524091201834381,-0.45578249823302,-0.853124971501529,-0.779253209009767
0.28581172786653,-0.869017858989537,0.41896091774106,0.696998446248472,-0.123095299117267,-0.748932031914592,0.860350782983005,0.814986502286047
-0.336692416109145,-0.184915591031313,0.71456402586773,0.238715263083577,0.929359013214707,-0.353461029939353,-0.163537313230336,0.302876721136272
-0.393407143652439,0.00477916840463877,-0.966174581553787,-0.56356067257002,0.0511075481772423,-0.464413333684206,0.485041759908199,0.644960809964687
-0.0554637829773128,0.271358957979828,-0.078557291533798,-0.636846101377159,-0.233185895252973,-0.433637765236199,0.148682312574238,0.0692294570617378
0.347699228208512,0.607452731579542,-0.0906824534758925,0.455087811686099,-0.297830582596362,0.0926182377152145,0.895489053800702,0.274129980243742
0.839951841160655,-0.704412698745728,-0.310232235118747,-0.592891528271139,-0.596042557153851,0.664503067266196,-0.679193385411054,0.236968602519482
-0.148904150351882,0.534519002772868,-0.215662890579551,-0.769550233148038,0.174853609409183,-0.0816229567863047,-0.249070314690471,0.681243715342134
0.769447720609605,0.112917464226484,-0.518427759874612,-0.251094285398722,0.314917617943138,0.604718336369842,-0.979564040433615,0.121227533556521
0.819451904855669,0.272729658987373,0.165065427310765,-0.880945700220764,0.463913042098284,-0.0402440945617855,-0.0639481828548014,0.861564763821661
0.664916067849845,0.0785798183642328,-0.226507738698274,-0.608963949605823,0.657504447270185,0.660679857712239,-0.50297410832718,-0.832537131849676
0.585625205654651,0.826602406799793,0.981963487807661,0.255080193746835,-0.0990463877096772,0.578581732232124,-0.434903611429036,0.0282156672328711
0.623829367570579,0.308216805569828,0.966991237364709,0.115421910304576,0.947297700215131,-0.297593602910638,-0.766241794452071,-0.946846877224743
0.0655137235298753,-0.227160060312599,0.891630565747619,0.412768003065139,-0.810671123210341,-0.163598599843681,0.564778927247971,-0.583772002719343
0.911743293516338,0.688780328258872,0.458438310306519,-0.348679876886308,-0.863955764099956,-0.826800967566669,-0.171272803097963,-0.505935559049249
-0.484864900819957,0.94102821778506,0.901849902700633,0.239195095840842,0.410684709437191,0.274464693851769,-0.165846957825124,0.464284488931298
0.74850884033367,0.69022685661912,-0.459630665834993,0.884273150935769,0.197422739118338,0.484964723698795,0.259720340371132,-0.0401163417845964
0.532411946449429,-0.0138631574809551,0.973189896438271,-0.505867639090866,-0.380543329752982,0.810948597732931,0.0976282507181168,-0.176531999837607
-0.681050244253129,-0.944048685953021,0.375253022648394,0.562473261728883,0.786986305378377,0.742227054666728,-0.130069590173662,-0.512765794061124
-0.0905070868320763,0.411549563519657,-0.340873814187944,0.080212009139359,0.382411240600049,-0.35142902424559,-0.870137222111225,0.598332911264151
-0.6670520468615,0.497660517692566,0.598762282170355,-0.370260635390878,-0.4379170993343,-0.805432451888919,0.76782152755186,0.914917745627463
-0.232083130162209,-0.410831318236887,0.426797405816615,0.607053485698998,0.876764862798154,-0.370791094377637,0.203725164290518,0.482873887754977
-0.980877867434174,0.654837770853192,0.175298622343689,0.906622853130102,-0.185076698660851,-0.0721498900093138,0.907553914003074,0.149945226963609
0.677419287152588,-0.064438269007951,0.762035343330353,-0.297069030348212,0.261038929224014,0.254914291203022,0.857125583104789,-0.0955151077359915
-0.6775829247199,-0.000843018759042025,0.952166535891593,-0.948475849814713,-0.920377459842712,0.498011064250022,0.679311474785209,0.13636826723814
-0.561738209333271,-0.0236410098150373,-0.649579174816608,-0.434840169735253,0.45953072886914,-0.322067649103701,-0.589516644366086,-0.188173927366734
-0.739550605416298,-0.620830889325589,0.898139944300056,-0.795193221885711,0.761600285302848,-0.155418881680816,0.780632760375738,-0.848551919683814
0.217373801860958,-0.115486904513091,-0.0175576978363097,-0.640313426963985,0.847767303232104,-0.963226423133165,0.452147467061877,0.519977954216301
-0.149021189194173,0.755237729288638,-0.0440216134302318,-0.0152442180551589,-0.467214954551309,-0.0761331343092024,-0.789673317689449,-0.588456080295146
0.318767338991165,-0.00866691861301661,-0.184430051129311,-0.517779173329473,0.32922225445509,-0.798396895173937,0.339354327414185,-0.477514977566898
0.305028209928423,-0.226684246677905,0.878464513923973,0.533247075043619,0.769707192201167,-0.196809789631516,-0.858697253745049,-0.292091994546354
0.45892167603597,-0.832018519751728,-0.779102887026966,0.259572433773428,-0.269451383501291,0.519225841388106,-0.563008978497237,0.530937081668526
-0.857139415107667,-0.185392048209906,-0.600462421774864,-0.415538903791457,-0.897900548297912,0.982708615250885,0.846344889141619,0.914273574948311
0.651020579505712,0.498120659496635,0.427459642291069,0.872834258712828,-0.855752237141132,0.553440485149622,0.190974913537502,0.150483356323093
